COAD-LAML 增强实验记录 (SyNG-BTS 2.6)
格式: case_id-标准化-batch-off_aug-模型-data_type-状态|时间戳|耗时|完成比例|已完成/总数
COAD_5-2-TC-batch6-offaug_none-CVAE1-100-miRNA-success|2026-03-30 23:07:29|0:00:19|21.0%|151/720
COAD_5-2-TC-batch6-offaug_none-CVAE1-200-miRNA-success|2026-03-30 23:07:48|0:00:18|21.1%|152/720
COAD_5-2-TC-batch6-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 23:11:19|0:03:31|21.2%|153/720
COAD_5-2-TC-batch6-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 23:14:47|0:03:27|21.4%|154/720
COAD_5-2-TC-batch6-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 23:18:25|0:03:38|21.5%|155/720
COAD_5-2-TC-batch7-offaug_none-CVAE1-50-miRNA-success|2026-03-30 23:18:46|0:00:21|21.7%|156/720
COAD_5-2-TC-batch7-offaug_none-CVAE1-100-miRNA-success|2026-03-30 23:19:10|0:00:23|21.8%|157/720
COAD_5-2-TC-batch7-offaug_none-CVAE1-200-miRNA-success|2026-03-30 23:19:28|0:00:17|21.9%|158/720
COAD_5-2-TC-batch7-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-30 23:22:43|0:03:15|22.1%|159/720
COAD_5-2-TC-batch7-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-30 23:25:09|0:02:25|22.2%|160/720
COAD_5-2-TC-batch7-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-30 23:28:05|0:02:56|22.4%|161/720
COAD_5-2-TC-batch8-offaug_none-CVAE1-50-miRNA-success|2026-03-30 23:28:26|0:00:20|22.5%|162/720
COAD_5-2-TC-batch8-offaug_none-CVAE1-100-miRNA-success|2026-03-30 23:28:53|0:00:26|22.6%|163/720
COAD_5-2-TC-batch8-offaug_none-CVAE1-200-miRNA-success|2026-03-30 23:29:12|0:00:19|22.8%|164/720
