COAD 增强实验记录 (SyNG-BTS 2.6)
格式: COAD_5-2-标准化-batch-模型-data_type-状态|时间戳|耗时|完成比例|已完成/总数
COAD_5-2-TC-batch9-CVAE10-1-RNA-success|2026-02-23 20:22:13|0:00:19|60.3%|217/360
COAD_5-2-TC-batch9-CVAE1-1-miRNA-success|2026-02-23 20:22:32|0:00:18|60.6%|218/360
COAD_5-2-TC-batch9-CVAE1-1-RNA-success|2026-02-23 20:22:54|0:00:21|60.8%|219/360
COAD_5-2-TC-batch9-CVAE1-10-miRNA-success|2026-02-23 20:23:16|0:00:22|61.1%|220/360
COAD_5-2-TC-batch9-CVAE1-10-RNA-success|2026-02-23 20:23:38|0:00:21|61.4%|221/360
COAD_5-2-TC-batch9-CVAE1-50-miRNA-success|2026-02-23 20:24:00|0:00:21|61.7%|222/360
COAD_5-2-TC-batch9-CVAE1-50-RNA-success|2026-02-23 20:24:29|0:00:29|61.9%|223/360
COAD_5-2-TC-batch9-CVAE1-100-miRNA-success|2026-02-23 20:24:48|0:00:18|62.2%|224/360
COAD_5-2-TC-batch9-CVAE1-100-RNA-success|2026-02-23 20:25:20|0:00:31|62.5%|225/360
COAD_5-2-TC-batch9-CVAE1-200-miRNA-success|2026-02-23 20:25:37|0:00:17|62.8%|226/360
COAD_5-2-TC-batch9-CVAE1-200-RNA-success|2026-02-23 20:26:03|0:00:26|63.1%|227/360
COAD_5-2-TC-batch10-CVAE10-1-miRNA-success|2026-02-23 20:27:09|0:01:05|63.3%|228/360
COAD_5-2-TC-batch10-CVAE10-1-RNA-success|2026-02-23 20:27:30|0:00:20|63.6%|229/360
COAD_5-2-TC-batch10-CVAE1-1-miRNA-success|2026-02-23 20:27:50|0:00:19|63.9%|230/360
COAD_5-2-TC-batch10-CVAE1-1-RNA-success|2026-02-23 20:28:12|0:00:22|64.2%|231/360
COAD_5-2-TC-batch10-CVAE1-10-miRNA-success|2026-02-23 20:28:38|0:00:25|64.4%|232/360
COAD_5-2-TC-batch10-CVAE1-10-RNA-success|2026-02-23 20:29:01|0:00:23|64.7%|233/360
COAD_5-2-TC-batch10-CVAE1-50-miRNA-success|2026-02-23 20:29:26|0:00:24|65.0%|234/360
COAD_5-2-TC-batch10-CVAE1-50-RNA-success|2026-02-23 20:29:57|0:00:31|65.3%|235/360
